title,company,location,category,job_type,deadline,salary,url
Mechanical Engineer,Al Fuladh,Erbil,Engineering,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Mechanical-Engineer-3086
Assistant Chef,Coccolina Bakehaus & Tea,Erbil,Operations/Production,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Assistant-Chef-3085
Video Editor,Havi Printing,Duhok,Marketing,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Video-Editor-3079
Salesperson,Arizanti Company,Erbil,Sales,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Salesperson-3084
Operation Assistant,Arizanti Company,Erbil,Operations/Production,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Operation-Assistant-3083
Program Manager,JOBS.KRD,Erbil,Project Management,Full time,2026-05-18,Not disclosed,https://jobs.krd/explore-jobs/Program-Manager-3082
Laboratory Staff,Packink,Erbil,Facilities Management,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Laboratory-Staff-3081
Purchasing Officer,Packink,Erbil,Operations/Production,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Purchasing-Officer-3080
Frontend Developer,Weshadow LLC,Erbil,Information Technology (IT),Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Frontend-Developer-3077
Senior Graphic Designer,Weshadow LLC,Erbil,Marketing,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Senior-Graphic-Designer-3076
HR Officer,Weshadow LLC,Erbil,Human Resources,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/HR-Officer-3075
Marketing Specialist,Weshadow LLC,Erbil,Marketing,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Specialist-3074
Senior Video Editor,Weshadow LLC,Erbil,Marketing,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Senior-Video-Editor-3073
Teachers for Upcoming Academic Year,Fam Group,Ranya (Sulaymaniyah Province),Education,Full time,2026-05-25,Not disclosed,https://jobs.krd/explore-jobs/Teachers-for-Upcoming-Academic-Year-3070
Volunteer Services Coordinator,VolunteerKRD,Erbil,Operations/Production,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Volunteer-Services-Coordinator-3068
Teacher,Classical School of the Medes,Duhok,Education,Full time,2026-08-15,Not disclosed,https://jobs.krd/explore-jobs/Teacher-3058
Teacher,Classical School of the Medes,Sulaymaniyah,Education,Full time,2026-08-15,Not disclosed,https://jobs.krd/explore-jobs/Teacher-3057
Teacher,Classical School of the Medes,Erbil,Education,Full time,2026-08-15,Not disclosed,https://jobs.krd/explore-jobs/Teacher-3056
Kitchen Team Leader,ALSALT Hospitality,Erbil,Operations/Production,Full time,2026-05-22,"{'id': 1, 'name': 'IQD'} 0.00–0.00 / Monthly",https://jobs.krd/explore-jobs/Kitchen-Team-Leader-3011
Marketing Specialist,Weshadow LLC,Erbil,Unknown,Full time,2026-06-23,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Specialist-2889
Marketing Manager,Galina Express,Erbil,Marketing,Full time,2026-05-29,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Manager-2831
Tech Lead,Galina Express,Erbil,Information Technology (IT),Full time,2026-06-13,Not disclosed,https://jobs.krd/explore-jobs/Tech-Lead-2709
Web Developer,Shahan Company,Duhok,Information Technology (IT),Full time,2026-05-30,Not disclosed,https://jobs.krd/explore-jobs/Web-Development-3099
Cashier (Female),DDK Collection Hotel,Duhok,Finance,Full time,2026-05-15,Not disclosed,https://jobs.krd/explore-jobs/Cashier-(Female)-3071
Videography & Editor,Best Code,Duhok,Marketing,Full time,2026-05-12,Not disclosed,https://jobs.krd/explore-jobs/Videography-&-Editor-3066
Senior Graphic Designer,Shahan Al-Alamiya,Sulaymaniyah,Unknown,Full time,2026-05-12,"{'id': 1, 'name': 'IQD'} 0.00–0.00 / Monthly",https://jobs.krd/explore-jobs/Senior-Graphic-Designer-3065
Cashier (Female),Al-Jazeera Dairy,Erbil,Sales,Part time,2026-05-11,Not disclosed,https://jobs.krd/explore-jobs/Cashier-3064
Carwash Supervisor,JOBS.KRD Client 5,Erbil,Unknown,Full time,2026-05-10,Not disclosed,https://jobs.krd/explore-jobs/carwash-supervisor-3063
Accountant,Asia International Hospital,Sulaymaniyah,Finance,Full time,2026-05-10,Not disclosed,https://jobs.krd/explore-jobs/Accountant-3061
Videographer,Digital Vision,Erbil,Marketing,Full time,2026-05-10,Not disclosed,https://jobs.krd/explore-jobs/Videographer-3060
Hatchery Manager,Vano Group,Erbil,Facilities Management,Full time,2026-05-10,Not disclosed,https://jobs.krd/explore-jobs/Hatchery-Manager-–-Grandparent-Hatchery-3059
Recreation Supervisor,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Recreation-Supervisor-3055
Outlet Manager – DDK Lounge & Terrace,DDK Collection Hotel,Duhok,Facilities Management,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Outlet-Manager-–-DDK-Lounge-&-Terrace-3054
Library and Coffeehouse Outlet Supervisor,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Library-and-Coffeehouse-Outlet-Supervisor-3053
Burger Outlet Supervisor,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Burger-Outlet-Supervisor-3052
Senior Web Developer (Laravel),Optimal,Erbil,Information Technology (IT),Full time,2026-05-10,"{'id': 1, 'name': 'IQD'} 0.00–0.00 / Monthly",https://jobs.krd/explore-jobs/senior-Web-Developer-(Laravel)-3051
