title,company,location,category,job_type,deadline,salary,url
Logistics Distribution Manager,JOBS.KRD Client 32,Erbil,Operations/Production,Full time,2026-03-30,Not disclosed,https://jobs.krd/explore-jobs/Logistics-Distribution-Manager-2942
Digital Media Manager,JOBS.KRD Client 32,Erbil,Marketing,Full time,2026-03-30,Not disclosed,https://jobs.krd/explore-jobs/Digital-Media-Manager-2941
Graphic Designer,JOBS.KRD Client 32,Erbil,Marketing,Full time,2026-03-30,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-2940
Marketing Manager,JOBS.KRD Client 32,Erbil,Marketing,Full time,2026-03-30,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Manager-2939
Graphic Designer & Video Editor,Delta Communication,Erbil,Unknown,Full time,2026-03-31,"{'id': 1, 'name': 'IQD'} 0.00–0.00 / Monthly",https://jobs.krd/explore-jobs/Graphic-Designer-&-Video-Editor-2938
Architecture Engineer,Leaders Guide,Sulaymaniyah,Engineering,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Architecture-Engineer-2937
Freelance Marketing Officer,Hope Center,Erbil,Marketing,Part time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Freelance-Marketing-Officer-2934
HR Officer,BGT Company,Erbil,Human Resources,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/HR-Officer-2935
Lawyer,Najmadin Group,Sulaymaniyah,Legal,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Lawyer-2936
Managing Director,JOBS.KRD Careers,Erbil,Human Resources,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Managing-Director-2933
Purchasing Officer,Mal H Group,Erbil,Operations/Production,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Purchasing-Officer-2932
Accountant,Mal H Group,Erbil,Finance,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Accountant-2931
Cost Controller,Mal H Group,Erbil,Finance,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Cost-Controller-2930
HR Officer,Mal H Group,Erbil,Human Resources,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/HR-Officer-2929
Accountant,Muhanad Group (Erbil HQ),Erbil,Finance,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Accountant-2928
Marketing Manager,HBH Group,Erbil,Marketing,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Manager-2927
Cosmetics Sales Employee,SAVY PHARMACY,Duhok,Sales,Part time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Cosmetic-employe-2926
IT Specialist (Control Room),Arena Erbil,Erbil,Information Technology (IT),Full time,2026-03-21,Not disclosed,https://jobs.krd/explore-jobs/IT-Specialist-2924
Accountant,London Sky for Travel and Tourism,Erbil,Finance,Full time,2026-03-19,950000.00–1000000.00 / Monthly,https://jobs.krd/explore-jobs/Accountant-2923
Procurement Supervisor,FABYAB CO.,Erbil,Unknown,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Procurement-Supervisor-2922
Communications Officer (Arabic Language),KRD Holding,Erbil,Public Relations (PR),Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Arabic-Communications-Officer-2918
Partnerships Officer,KRD Holding,Erbil,Strategic Partnerships,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Partnerships-Officer-2919
Communications Officer,JOBS.KRD Careers,Erbil,Communications,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Communications-Officer-2920
Social Media Specialist,Shahan Al-Alamiya,Sulaymaniyah,Marketing,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-Specialist-2921
Senior Accountant,JOBS.KRD Client 31,Sulaymaniyah,Finance,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Senior-Accountant-2917
Business Solution Sales Supervisor,JOBS.KRD Client 6,Erbil,Sales,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Business-Solution-Sales-Supervisor-2916
B2B Sales Supervisor,JOBS.KRD Client 6,Erbil,Sales,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/B2B-Sales-Supervisor-2915
Procurement Officer,Medya Diagnostic Center,Erbil,Operations/Production,Full time,2026-03-10,Not disclosed,https://jobs.krd/explore-jobs/Procurement-Officer-2914
Handcraft Specialist,Maad Center,Sulaymaniyah,Education,Full time,2026-03-17,Not disclosed,https://jobs.krd/explore-jobs/Handcraft-Specialist-2913
Security Guard,INTENSE SECURITY,Erbil,Administration/Operations,Part time,2026-03-17,500000.00–600000.00 / Monthly,https://jobs.krd/explore-jobs/پاسەوانی-تایبەت-بۆ-پرۆژەکانی-وەك-مۆڵ-و-شار-و-شاری-یاری-2912
Sales Representative,Al-Ehsan,Erbil,Sales,Full time,2026-03-17,Not disclosed,https://jobs.krd/explore-jobs/نوێنەری-فرۆشتن-(-کاشڤان-)-2906
Data Analyst,Bahar Holding,Duhok,Data Analytics,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Data-Analyst-2910
Veterinarian – Sales & Technical Officer,Vano Group,Erbil,Sales,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/veterinarian-–-Sales-&-Technical-Officer-2907
Data Analyst,Bahar Holding,Erbil,Data Analytics,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Data-Analyst-2908
Data Analyst,Bahar Holding,Sulaymaniyah,Data Analytics,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Data-Analyst-2909
Digital Print Specialist,Maad Center,Erbil,Operations/Production,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Digital-Print-Specialist-2905
Recruitment & Talent Acquisition Manager,KRD Holding,Erbil,Human Resources,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Recruitment-&-Talent-Acquisition-Manager-2904
Planning Officer,FABYAB CO.,Erbil,Strategic Planning,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Planning-Officer-2903
L&D & Employee Development Manager,KRD Holding,Erbil,Human Resources,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/L&D-&-Employee-Development-Manager-2902
Receptionist (Female),Arena Erbil,Erbil,Customer Service/Support,Full time,2026-05-14,"{'id': 1, 'name': 'IQD'} 0.00–0.00 / Monthly",https://jobs.krd/explore-jobs/Receptionist-2901
Quality Inspector,FABYAB CO.,Erbil,Quality Assurance/Quality Control (QA/QC),Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Quality-Inspector-2900
Follow-Up & Monitoring Employee,Ramos Company,Nineveh,Operations/Production,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Follow-Up-&-Monitoring-Employee-2894
Follow up & Monitoring Employee,Ramos Company,Kirkuk,Sales,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Follow-up-&-Monitoring-Employee-2893
HR Assistant,FABYAB CO.,Erbil,Human Resources,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/HR-Assistant-2899
Quality Controller,FABYAB CO.,Erbil,Quality Assurance/Quality Control (QA/QC),Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Quality-Controller-2898
Warehouse Worker,FABYAB CO.,Erbil,Facilities Management,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Warehouse-Worker-2897
Warehouse Assistant,FABYAB CO.,Erbil,Facilities Management,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Warehouse-Assistant-2896
Electrical Engineer,FABYAB CO.,Erbil,Engineering,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Electrical-Engineer-2895
Mechanical Technician,FABYAB CO.,Erbil,Marketing,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Mechanical-Technician-2892
Showroom Sales Agent,Maad Center,Erbil,Sales,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/showroom-sales-agent-2891
Graphic Designer,BGT Company,Erbil,Unknown,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Graphic-designer-2890
Sales Representative (Cosmetics),Awe Company,Erbil,Sales,Full time,2026-03-12,700000.00–1000000.00 / Monthly,https://jobs.krd/explore-jobs/Sales-Representative-(Cosmetics)-2888
Sales Executive,NRCO General Trading,Erbil,Sales,Full time,2026-03-12,Not disclosed,https://jobs.krd/explore-jobs/Sales-Executive-2887
HR Business Partner,Kurdistan Foundation,Erbil,Human Resources,Full time,2026-03-12,Not disclosed,https://jobs.krd/explore-jobs/Kurdistan-Foundation-Officer-2886
HR Business Partner,KRD Holding,Erbil,Human Resources,Full time,2026-03-12,Not disclosed,https://jobs.krd/explore-jobs/HR-Business-Partner-2883
HR Recruiter,KRD Holding,Erbil,Human Resources,Full time,2026-03-12,Not disclosed,https://jobs.krd/explore-jobs/HR-Recruiter-2885
Procurement Assistant,Virton Company,Erbil,Operations/Production,Full time,2026-03-11,Not disclosed,https://jobs.krd/explore-jobs/Procurement-Assistant-2882
Consumer Brand Manager (Ahmad Tea),Bahar Holding,Sulaymaniyah,Marketing,Full time,2026-03-12,Not disclosed,https://jobs.krd/explore-jobs/Consumer-Brand-Manager-(Ahmad-Tea)-2880
Social Media Content Creator,Family Mall Erbil,Erbil,Marketing,Full time,2026-03-10,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-Content-Creator-2879
Brand Face (Female),SafeClicks,Erbil,Marketing,Full time,2026-03-10,Not disclosed,https://jobs.krd/explore-jobs/Brand-Face-(Female)-2876
Graphic Designer,Kano Printing Company,Duhok,Marketing,Full time,2026-03-10,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-2878
Payments Processing Officer,VCG Markets,Erbil,Finance,Full time,2026-03-10,Not disclosed,https://jobs.krd/explore-jobs/Payments-Processing-Officer-2877
Human Recourses Manager,ALSALT Hospitality,Erbil,Unknown,Full time,2026-03-09,Not disclosed,https://jobs.krd/explore-jobs/Human-Recourses-Manager-2874
Salesperson (Female),MY LIMITED,Erbil,Sales,Part time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Salesperson-(Female)-2873
Sales Representative (Male),Ramos Company,Duhok,Sales,Full time,2026-03-08,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-(Male)-2871
